Parola_1	Parola_2	BS1	BS2	Terms_BS1	Terms_BS2
tennis	statistica	bn:00050287n	bn:00074061n	tennis,pallacorda,tennis sull'erba,tennistica,tennistico	statistica,analisi statistica,Statistiche,Scienze statistiche,Statistici
Bolzano	teorema	bn:00011913n	bn:00076831n	Provincia autonoma di Bolzano,provincia di Bolzano,Bolzano,Alto Adige,Tirolo del Sud	teorema
altitudine	conversione	bn:00003142n	 bn:00077989n	altitudine,quota,altimetrico	trasformazione,conversione,trasformazione di coordinate,trasformazione di variabili,trasformazione geometrica
barca	albero	bn:00011674n	bn:00053706n	barca,imbarcazione,battello,barche,battellieri	albero
trono	spada	bn:00077086n	bn:00011081n	trono,truono	spada,acciaro,durindana,durlindana,ferro
cotone	maglione	bn:00023072n	bn:00048570n	cotone (fibra),Ciclo cotoniero,Coltura del cotone,Cotonicoltura,Tessuto di cotone	maglione,Pullover,Maglia (indumento),Golf
ciliegia	fragola	bn:00018175n	bn:00074577n	ciliegio,Ciliegia ,Ciliegie ,Cerasicoltura,Durone	fragola,fraga,Fragaria ananassa,Fragaria × ananassa
Islam	Corano	bn:00047600n	bn:00002370n	Islam,islamismo,Islam politico,maomettismo,mezza luna	Corano,Alcorano,Edizioni del Corano,Il Corano,Mushaf
Neanderthal	sport	bn:00044581n	bn:00006759n	Uomo di Neandertal,Uomo di Neanderthal,Homo neanderthalensis,Homo sapiens neanderthalensis,Neanderthal	sport,atletica,Atletica leggera,atleta,Atletica leggera indoor
nepotismo	re	bn:00057307n	bn:00024097n	nepotismo,baronismo,familismo,nipotismo,Baronia accademica	monarca,re,sovrano,regnante,Monarchi
personaggio	persona	bn:00017746n	bn:00044576n	Personaggio immaginario,personaggio,personaggio di fantasia,personaggio fittizio,figura	uomo,essere umano,Homo,umano,AMH,persona
cisterna	vagone	bn:00019258n	 bn:00015785n	cisterna,Serbatoio (acquedotto),bottino,Cisterne,Serbatoio dell'acquedotto	Vagone,Vagone ferroviario,automotrice,bisarca,Carro
Mercurio	Giove	bn:09063133n	bn:00048646n	Mercurio (astrologia)	Giove,♃
bronchite	acetaminofene	 bn:00013313n	bn:00000834n	bronchite	Paracetamolo,paracetamol,Acetaminofene,Efferalgan,Paracetomolo
sangue	corpo	bn:00011346n	bn:00011744n	sangue,Blood,Cellule ematiche,Elementi corpuscolati,Elementi figurati	corpo,oggetto,organismo
islamofobia	ISIS	bn:00047611n	bn:15487402n	islamofobia,islamofobo	Stato Islamico (organizzazione),IS,ISIL,ISIS,Stato Islamico dell'Iraq e del Levante
uncinetto	uniforme	bn:00023884n	bn:14044808n	uncinetto,crochet,croscè,lavoro all'uncinetto,maglia	Divisa,Uniforme,Divisa militare,Divise
Hadoop	touchscreen	bn:03415734n	bn:00077733n	Apache Hadoop,Hadoop,Hadoop Distributed File System,HDFS	Schermo tattile,Touch screen,Touchscreen,Schermo sensibile al tocco,schermo a sfioramento
combustibile fossile	fossile	bn:00036027n	 bn:00036026n	Combustibili fossili,combustibile fossile,Carburante fossile,Carburanti fossili,Fonte fossile	fossile,Fossili,Fossilizzato,Fossil Record
mutante	sociobiologia	bn:00018894n	bn:00072570n	Mutazione genetica,mutazione,Mutazioni,Mutazioni genetiche,Mutante	sociobiologia
sorella	fratello	bn:00071838n	bn:00011357n	sorella	fratello,fratello di sangue
matita	storia	bn:00061334n	bn:00044268n	matita,lapis,Matite	storia
eczema	dermatite	bn:00029715n	bn:00026454n	eczema,Eczemi,esantema	dermatite,Dermatiti,dermatosi
imperatore	governatore	bn:00030591n	bn:00041204n	imperatore,cesare,Imperatori,Caio Giulio Cesare,Imperatrice	governatore,governante,Vice-governatore,Governatori
corona	chiave	bn:00024069n	bn:00048985n	corona (copricapo)	chiave,Keycard
algebra	operazione	bn:00002676n	bn:00053826n	algebra,Algebră,álgebra,Calcolo algebrico,Calcolo letterale	operazione,operazione aritmetica,Operazione interna,Operazioni aritmetiche,Operandi
pistone	motore	bn:00062630n	bn:00030850n	pistone,stantuffo	motore,Propulsore
borsa di studio	retta	bn:00069614n	bn:00078557n	borsa di studio,Borse di studio,Borsista	retta,tassa d'iscrizione,tassa scolastica,tassa universitaria
libro	manoscritto	bn:00012060n	bn:00044453n	volume,libro,tomo	manoscritto,Manoscritti,Copiatura,Integri,Mutili
lantana	bocca di leone	bn:00049943n	 bn:00004738n	lantana	Antirrhinum majus,Bocca di leone,bocca di Leone comune
buco nero	vuoto	bn:00010920n	bn:00030635n	buco nero,Buchi neri	vuoto (fisica),vacuo,Vuoto quantistico,Vuoto spinto
Impero Persiano	Ciro	bn:00061704n	bn:03352442n	Impero persiano,Persia,Impero di Persia,Regno di Persia,Regno persiano	Ciro (patriarca di Costantinopoli)
editoriale	notizia	bn:00020825n	bn:00057546n	editoriale,articolo di fondo,rubrica (giornalismo),fondo	notizia,notizie,cronaca,novità,annuncio
decorazione	busta	bn:00025765n	bn:03384143n	ornamento,abbellimento,decorazione,guarnizione,abbellimenti	busta
squalo balena	aragosta	bn:00067621n	bn:00051731n	Squalo balena,Rhincodon typus,Rhincodontidae,Rhincodon	aragosta,astice,Homarus,Nephropidae,Omaro
mais	granturco	bn:00022678n	bn:00022678n	mais,granoturco,granturco,Zea mays,formentone	mais,granoturco,granturco,Zea mays,formentone
disturbo bipolare	problema	bn:00010593n	bn:00048242n	Psicosi maniaco-depressiva,Disturbo bipolare,Depressione bipolare,Disordine bipolare,Disturbo bipolare dell'umore	problema
